id,text,pilar
4,mengamankan data pribadi rakyat republik indonesia saja belum maksimal tapi sudah bergaya dengan mewajibkan digitalisasi sertifikat,Pertahanan
7,prabowo dinilai tidak mampu mengelola negara jokowi dan gibran dianggap tidak jujur manipulatif dan terlibat dalam berbagai hal negatif banyak kritik dilontarkan melalui tagar jokowigakusahpulang dan 2025lengserkangibran,Pertahanan
708,judi digital dan kredit digital terbukti menyengsarakan rakyat terutama rakyat kecil bohong besar jika disebut mendorong pertumbuhan ekonomi,Pertahanan
778,mana berani lah kacung prabowo lengserin gibran prabowo itu orang egois hanya pikirkan asal dapat kursi presiden saja prabowo kaga pernah pikirkan nasib rakyat prabowo bohong semua hatinya isi merah putih itu cuma omongomong selamanya,Pertahanan
841,silahkan nilai sendiri jelas ijazah identik dengan yang diupload kader psi itu jika terbukti palsu maka mereka semua harus diseret ke pengadilan sadarlah jejak digital gak bisa dibohongi reputasimu akan hancur lebur,Pertahanan
1089,itulah janji manis seorang pembohong yang berlindung di balik katakata indah tapi hanya untuk menipu rakyat lapangan pekerjaan dijadikan umpan padahal yang dibangun cuma harapan kosong,Pertahanan
1145,gak penting banget kalau mau memberikan perlindungan ganda terhadap penyalahgunaan data serta kejahatan digital seperti spam phishing dan judi online harusnya hilangin akar masalahnya bukan ganti jenis kartu sama saja bohong kalau sudah esim tapi data masih bocor,Pertahanan
1193, hey kau mulyono jokowi mulutmu bisa berbohong tapi digital forensik tidak bisa berbohong mati kau dengan kebohongan dan penipuanmu tamat riwayatmu,Pertahanan
1294,jangankan daging roti saja susah luar biasa pembohong onim npc ini ya liputan tidak sesuai fakta lapangan di gaza,Pertahanan
1478,jokowi mau terus bersandiwara supaya publik percaya sampai habis duitnya bohongnya kita rakyat prabowo dan gibran gak akan percaya sandiwara itu asu asu pembenci jokowi,Pertahanan
1536,kalau soal jokowi bohong itu sudah seperti hobi coba sebutkan satu janji yang benarbenar ditepati dolar jadi 10 ribu atau 10 juta lapangan kerja tercipta 11 triliun ingat sekali presiden ingkar janji berarti lebih dari 270 juta penduduk indonesia dibohongi,Pertahanan
1875,saya mengerti frustrasimu tapi saya nggak bohong saya memang nggak bisa mengidentifikasi orang di foto karena keterbatasan akses gambar dan privasi bukan karena kebodohan atau tipu daya cebong mungkin cuma ejekan tapi ya tetapÂ…,Pertahanan
1912,orang yang suka membongak berlagak atau berbohong dalam budaya melayu biasanya menghadapi akibat sosial seperti kehilangan hormat dan kepercayaan budaya ini menghargai rendah hati dan harmoni jadi mereka mungkin dilihat sebagai tidak dapat dipercaya,Pertahanan
2173,untuk menutup kebohongan akan menggunakan ribuan kebohongan lainnya seperti orang ini mengatasnamakan komunitas digital forensik mengatakan font times new roman sudah ada tahun 1930 bisa bayangkan bagaimana bentuk komputer dan program komputer zaman itu,Pertahanan
2203,sudahlah mul jangan banyak ngeles mayoritas rakyat nkri tahu kelakuanmu tukang bohong lihat nih peninggalanmu selama 10 tahun nkri moratmarit apbn sampai defisit utang menggunung lebih parah dari zaman orba demokrasi hancur semakin mundur,Pertahanan
2334,kalau baru kuliah pascareformasi anda belum cukup umur untuk memahami polemik ijazah tahun 85 lagian nggak ada kepentingan dengan ijazah anda otak itu dipakai jika sejarah dipimpin oleh pembohong menggunakan ijazah palsuÂ…,Pertahanan
2429,untuk membasmi pendengung seperti yang dimaksud beberapa cara bisa dilakukan pertama tingkatkan literasi digital agar masyarakat bisa mengenali kabar bohong dan akun pendengung kedua laporkan konten provokatif ke platform media sosial untuk ditindak,Pertahanan
2432,perubahan pola kerja seperti munculnya kerja jarak jauh akses informasi lebih luas tapi juga berisiko penyebaran kabar bohong ketimpangan digital di mana tidak semua orang memiliki akses teknologi yang sama isu privasi dan keamanan data yang semakin penting,Pertahanan
3001,pantaslah indonesia tidak maju sdm begini rupa kualitas para ternak mulyono ampun bodoh saking fanatik memuja mulyono bisa mulyono disetarakan dengan nabi sudah jelas mulyono tukang bohong mengatakan kakek tua pembimbing ternyata asisten dari segi mana lah dikatakan nabi,Pertahanan
3781,rezim prabowo dan rezim joko widodo sama saja kita harus mengartikan kebalikannya itu yang benar tidak terjadi swasembada pangan sampai kapanpun walaupun untuk mencapai hanya tahun saja itu mustahil ini nyata dan benar kedua rezim pembohong ini nyata,Pertahanan
3967,ngapain emosi artinya tidak lebih kuasai materi karena tidak bisa imbangi kecerdasan lawan bicara keadilan hukum harus ditegakkan dengan berani tampilkan bukti aslinya di depan pengadilan baik diminta atau tidak oleh hakim kejujuran itulah roh hukum dan kebohongan itulah aib hukum,Pertahanan
4019,ebohongan pasti tersingkap pendukungnya pasti akan dipermalukan waktu akan membuktikan jangan berhenti untuk menyingkap kejahatan dan menegakkan hukum terhadap pelaku kebohongan dan pendukungnya jangan takut dengan celaan robot buzzer keadilan pasti menang,Pertahanan
4246,seperti tidak tahu saja kelakuan aparat penegak hukum wakanda ini kalau menyerahkan semua ke sana dan berharap kejujuran dan keadilan ya tidak bakal dapat yang ada cuma ancaman hukuman supaya tidak membongkar kebohongan tukang ngibul,Pertahanan
4313,novi justru mas adalah pakar yang ingin membuka hati dan pikiran waras demi penegakan hukum dan keadilan di negara ini bahwa selama tahun terjadi pembohongan publik dan elite politik demi nafsu dinasti politik keluarga jokowi,Pertahanan
4427,indonesia bersinar terang namun ke mana pun melihat sekarang ada korupsi hilirisasi nikel dapat durian runtuh triliunan rupiah tapi masuk apbn hanya sebagian sisanya dikorupsi berbohong apbn defisit utang tercatat dan tidak tercatat gitu,Pertahanan
4454,justru si fufufafa harus ditangkap hilirisasi bohong juta lowongan kerja bohong tidak tahunya bapak,Pertahanan
4467,tidak ada hilirisasi yang sebenarnya yang ada hanya pemurnian nikel oleh perusahaan tiongkok dan hasilnya dikirim ke tiongkok yang melakukan hilirisasi ya cina jadi bangsa indonesia telah dibohongi oleh istilah dengan katakata hilirisasi,Pertahanan
4491,ya mengaku banyak berbohong bikin utang negara bengkak hilirisasi abalabal semua dikeruk asing banyak sekali njirrr kamu yang jadi presiden pencitraan bangun ini itu pakai duit utang saya juga mampu,Pertahanan
4566,saya izin menjawab sesuai yang saya tahu umat buddha itu terdapat sila ajaran moral dasar yaitu tidak membunuh tidak mencuri tidak melakukan perbuatan asusila tidak berbohong dan tidak mabukmabukan selain itu diperbolehkan termasuk lgbt karena komitmen hak asasi manusia,Pertahanan
4647,sudah menjadi karakter utamanya berangkat dari kebohongan ke kebohongan selanjutnya dia berhasil mencapai puncak kekuasaan dengan amunisi kebohongan itu dia juga menyandera hampir semua lawan politiknya yang memang mayoritas korupsi dengan politik sandera demokrasi hancur,Pertahanan
4810,bukan terlalu banyak keributan tetapi memang pada dasarnya sistem demokrasi yang indonesia adopsi dari barat mempersulit pemerintah untuk mencegah keributan misalnya saat pandemi covid19 banyak orang amerika menolak vaksin dan menyebarkan berita bohong sedangkan di cina sulit membuat onar dan akhirnya ribuan nyawa hilang,Pertahanan
4961,cara berbohong yang digunakan seperti ayahnya dengan janji jutaan lapangan kerja tapi yang masuk malah tka china,Pertahanan
4978,lalu program jutaan lapangan kerja yang anda janjikan mana bohongnya sudah kelewatan,Pertahanan
4980,ini ada pengakuan yang terbuka bahwa tidak mampu menyediakan lapangan kerja bagi rakyatnya jadi yang juta adalah kebohongan yang turuntemurun,Pertahanan
4992,yang janji lapangan kerja dipastikan bohong seperti ayahnya yang suka bohong ditutupi dengan kebohongan pemerintah dan menteri tenaga kerja tidak sanggup untuk menyediakan pekerjaan buat rakyatnya makanya disuruh cari kerja ke luar negeri lha kalian kerja apa,Pertahanan
