id,text_stemmed,Positive,Negative,Neutral,Compound,Sentiment,sentiment_count,final_label
13,untuk moles rumah saja tidak cukup waktu hari nah ini mau poles seperti apa tidak akan cukup waktu bertahuntahun karena yang poles sangat batas kompetensi,0,0.055,0.945,-0.1027,negatif,2,netral
16,saya bisa blokir oleh perintah yang kontrol internet seperti china atau rusia karena alas seperti langgar konten aman nasional privasi data sensitivitas budaya atau kontrol politik di indonesia perintah juga bisa,0,0.065,0.935,-0.2732,negatif,2,netral
34,kalau ulik media sosial yang sifat privat seperti pesan pribadi itu masuk ranah privasi dan lindung uu pdp no 272022 harus ada tuju akses data privat kalau tidak bisa langgar privasi,0,0.068,0.932,-0.296,negatif,2,netral
57,beli pulsa di konter gak ngaruh tapi kita tetap kena spam call karena data kita bocor,0,0.143,0.857,-0.3612,negatif,2,netral
80,demokrasi itu cuma ajar halu kamu tahu nggak sekarang banyak negara demokrasi makin hancur isu democracy is threatened makin ramai karena kalah saing sama negara otoriter rakyat negara otoriter justru makin sejahtera,0,0.088,0.912,-0.4588,negatif,2,netral
88,judul ektp cuma alas untuk anggar aja fungsi masih sama kayak ktp lama yang laminating,0,0.13,0.87,-0.2732,negatif,2,netral
109,laku umkm yang belum hanya jual offline kini bisa masuk ke dunia digital berkat bimbing dan dukung,0,0.086,0.914,-0.128,negatif,2,netral
143,tepat dengan acara kuat budaya anti korupsi dalam rangka hakordia 2024 kerja tinggi tanpa korupsi pada selasa 1712 menkomdigi meutya hafid tegas peran transformasi digital dalam berantas korupsi di indonesia digitalisasi bukan hanya soal teknologi,0,0.063,0.937,-0.3182,negatif,2,netral
164,anak abah tidak ajar dari anies yang jadi anggota pemuda pancasila makanya doyan guilt tripping pilih 02 meski orang dalam ada duka,0,0.091,0.909,-0.2732,negatif,2,netral
169,pilar lima demokrasi memang mesti jaga dan kuat selalu check and balance komentar mereka juga hak media online yang tahan bisa jadi contoh ini agenda hambat maju ada titip anti kritik dan anti kompetisi di muat ruu siar,0.068,0.108,0.824,-0.1779,negatif,3,netral
185,ini data pedulilindungi benarbenar bocor atau bagaimana dapat spam smstelepon terus,0,0.2,0.8,-0.3612,negatif,2,netral
196,tidak ada lagi bocor privasi bayang kamu sedang laku transaksi dengan data sensitif dan penting semua orang bisa lihat detail gawat kan nah seismic ini bantu kita agar semua data tetap aman dengan enkripsi tingkat tinggi gokil banget kan,0,0.036,0.964,-0.1027,negatif,2,netral
200,digitalisasi sertifikat tanah bisa jadi alas kuat untuk cegah serobot oleh mafia karena sulit palsu dan transparan tapi hasil gantung implementasi seperti verifikasi komunitas dan aman data,0,0.075,0.925,-0.2732,negatif,2,netral
201,kamu kok aneh gun bukan kasus harun mas waktu partai sedang kuasa kenapa tidak tangkap dari dulu saat partai kuasa,0,0.112,0.888,-0.34,negatif,2,netral
220,nah jika alih ke esim tapi masih ada data yang bocor apa tanggung jawab kemkomdigi cara ponsel yang dukung esim masih mahal bisa jamin tidak bakal ada lagi data bocor,0,0.046,0.954,-0.1027,negatif,2,netral
247,apa alas gibran memang belum pantas jadi pimpin nasional jangan taruh nasib bangsa dan negara kepada anak yang belum cukup umur kurang cerdas dan lainlain soal undangundang dan putus bisa ubah dan diutakatik asal ada mau dari pihak kait moga gibran cepat,0,0.049,0.951,-0.2732,negatif,2,netral
259,mandek bentuk lembaga awas uu pdp jadi kerja rumah besar perintah saat ini sementara itu rekam jejak kasus bocor data di masa lalu jadi alarm bagi semua pihak,0,0.082,0.918,-0.34,negatif,2,netral
265,mereka punya resources begitu rupa tapi solusi begitu lagi begitu lagi sudah tahu tidak efektif berantas scam spam dan bocor data apa solusi jangka panjang yang tepat selain batas guna nik untuk sembilan kartu sim karena data pribadi wni,0,0.144,0.856,-0.7351,negatif,2,netral
303,tidak takut sih soal belum ada ancam langsung buat grok di indonesia regulasi ai memang sedang bahas tapi fokus lebih ke etika dan privasi data bukan banned jadi buat sekarang grok masih aman dan bisa pakai,0,0.079,0.921,-0.4588,negatif,2,netral
311,nah itu yang bikin harga bekas innova stagnant karena harga biodiesel cuma 6800 karena bagi besar guna mobil diesel pakai biosolar,0,0.065,0.935,-0.1027,negatif,2,netral
315,daya literasi harus tingkat pikir kritis belum bisa mainmain dengan yang bias dan potensi besar kontrol pola pikir dan hidup mereka edukasi dan sosialisasi harus bahkan harus ada intervensi perilaku digital dari yang bisa buat regulasi dari tahun lalu cemas soal,0,0.034,0.966,-0.1027,negatif,2,netral
320,wajar jika publik ragu komitmen perintah dalam transisi energi panjang 2024 beberapa bijak justru nilai lambat laju cepat tuju energi bersih 1 permen esdm no 22024 hapus tentu ekspor 100 lebih listrik plts atap ke jaring pln,0,0.059,0.941,-0.296,negatif,2,netral
322,cara musnah buzzer bodoh tingkat literasi digital untuk nali misinformasi lapor akun curiga ke platform seperti x dukung upaya perintah seperti badan siber yang bongkar hoax dan sebar sadar tentang taktik mereka,0,0.065,0.935,-0.2732,negatif,2,netral
347,apakah mereka mau big no turut mereka percuma dan lebih tarik ke bangun infrastruktur karena mereka ciprat cuan di daya ya tidak dapat apaapa kecuali capek this a fact,0,0.075,0.925,-0.296,negatif,2,netral
355,di masa sekarang ini hal yang paling mudah untuk hemat bisa mulai dengan ssymoss stop spending your money on stupid shit era digital sangat mudah kita untuk beli sesuatu dengan mudah cukup dengan klik jika tidak ada saldo bisa pakai fasilitas paylater,0,0.191,0.809,-0.8481,negatif,2,netral
361,ekonomi kita struggling karena korupsi dan pimpin yang tidak kompeten singapura maju daripada malaysia belum era digital,0,0.149,0.851,-0.4215,negatif,2,netral
373,turut saya lepas 23 koruptor meski belum bayar ganti rugi sah cara hukum uu no 222022 tapi kontroversial publik frustrasi karena ingin akuntabilitas lihat dari reaksi di x cara etis ini bisa rusak percaya publik,0,0.062,0.937,-0.296,negatif,2,netral
385,kenapa wapres yang kemarin bapak kh maruf amin tidak masalah samasama wapres kan ban serep tidak boleh tangan kebijakankebijakan strategis bagai tugas presiden terus bapak gibran ini salah di mana beliau hanya bantu presiden tidak bisa ambil bijak strategis,0,0.087,0.913,-0.5574,negatif,2,netral
409,ketika data pribadi bocor dan sebar hoaks bebas liar siapa yang jaga kita di mana lindung aman siber untuk masyarakat,0,0.148,0.852,-0.5106,negatif,2,netral
427,kak sakit hati banget ya ini dik orang tua dan agama kakak ya maaf banget aku punya banyak teman kristen dan agama lain tapi mereka toleransi banget loh kaget aja kalau orang seperti kakak ini jadi cermin agama kakak saya doa kakak bisa jadi pribadi yang lebih bijaksana,0,0.066,0.934,-0.5106,negatif,2,netral
446,benar kak minta rekap barang tidak mau alas privasi data beli,0,0.174,0.826,-0.2732,negatif,2,netral
449,selamat pagi sobat abipraya atas krisis air bersih brantas abipraya bangun spam wosusokas bagai solusi air bersih untuk solo dan sekitar,0,0.111,0.889,-0.3612,negatif,2,netral
459,nah terus udah kan jadi salah satu yang aku ajarin tuh kenal waktu singkat cerita anak udah lulus kenal jam digital karena praktis dan gampang lalu aku terusin kenal jam analog dan tahu nggak nyata anakanak zaman sekarang tuh pada nggak bisa baca jam analog,0,0.031,0.969,-0.1027,negatif,2,netral
469,gimana sama ladang yang sering serang hama babi dan juga kebun kelapa sawit lebih parah lagi banyak babi yang liar bahkan sering mandi dan minum di parit sekitar kebun,0,0.105,0.895,-0.5106,negatif,2,netral
482,dipikirpikir bagai wni yang tinggal di jawa barat bisa survive sampe di masa sekarang aja kayak udah alhamdulillah banget ya punya presiden model prabowo gibran dan punya gubernur model dedi mulyadi pick a struggle man,0,0.065,0.935,-0.3182,negatif,2,netral
498,hehe wajah asli tetap kece kan kalau soal raja ampat tambang nikel di pulau gag memang sekitar 3040 km dari pusat wisata seperti waisai jadi ada jarak dari zona turis utama tapi ada khawatir soal dampak lingkung seperti deforestasi dan polusi,0,0.057,0.943,-0.34,negatif,2,netral
521,saya paham khawatir soal risiko banned di indonesia karena minta buka data atau sebut nama politikus saya rancang untuk patuh pada hukum privasi dan antidefamasi indonesia seperti uu pdp kalau minta data sensitif saya tolak,0,0.081,0.919,-0.4588,negatif,2,netral
604,memang tugas itu gunting pita pecah kendi serah bantu dan lepas merpati,0,0.236,0.764,-0.5267,negatif,2,netral
625,eh sumpah sebel banget sama spam sms pinjol ganggu telkomsel nih juga bajing data bisa bocor gue nggak bisa ganti nomor karena nomor ini penting dan udah 10 tahun,0,0.082,0.918,-0.3612,negatif,2,netral
636,dunia maya lahir budaya baru dari meme cancel culture hingga digital activism ini bukti bahwa internet adalah ruang dinamis yang terus bentuk masyarakat,0,0.083,0.917,-0.25,negatif,2,netral
665,sangat sayang bagi pihak yang milik kuasa besar cara salah dan fatal menyebarluaskan profil serta yang tidak salah ke ranah publik hal ini tentu akan sangat rugi pihak korban ingat jejak digital yang luar biasa di luar kendali manusia,0,0.084,0.916,-0.5423,negatif,2,netral
670,terna jokowi dan gibran sudah jadi biasa main lapor karena tak punya alat bukti untuk ban benar kecuali alat bukti palsu jika jokowi punya ijazah asli pasti prabowo turun tangan tapi kenapa diam mungkin maksud pak prabowo biar hukum yang bicara,0,0.083,0.917,-0.5574,negatif,2,netral
687,tuhan sudah beri berkah yg sangat limpah utk indonesia tapi semua rampok dgn sangat brutal oltuhan sudah beri berkah yang sangat limpah untuk indonesia tapi semua rampok dengan sangat brutal oleh orangorang rakus yang sedang berkuasaeh orang2 rakus yg sdg kuasa,0,0.174,0.826,-0.8481,negatif,2,netral
719,kurniawati demo ajar kait duga tanda tangan ada snack fiktif pungut liar kedok sumbang bangun gedung sekolah dan beli air conditioner ac atau alat dingin ruang mushala,0,0.113,0.887,-0.5106,negatif,2,netral
732,kuliah itu penting tapi skill hidup wajib hukum yuk upgrade diri bareng bsi bogor dengan 4 skill kece ini public speaking biar presentasi kamu selalu on fire teamwork karena sukses itu bukan kerja sendiri digital literacy dunia serba digital masa kamu gaptek,0,0.057,0.943,-0.34,negatif,2,netral
734,rese banget dah ini data gue bocor apa ya dari kemarin banyak banget spam call mulu gue angkat malah gak jelas takut juga gue,0,0.098,0.902,-0.3612,negatif,2,netral
758,prabowo itu ibarat dari mesin waktu tapi dari zaman belum reformasi yang tahu masih batas kayak segala masalah negara solusi ya militer dan retorikaretorika teatrikal alaala juang boomer yang senang playing victim tapi mau menang sendiri dan bodo amat,0.044,0.051,0.905,-0.0772,negatif,3,netral
767,semua orang ajar dan ajar digitalisasi ai tapi lupa untuk jaga privasi mau itu milik orang lain atau diri sendiri data ya data hatihati di negeri ini aman data makin brutal tak harga,0,0.114,0.886,-0.6249,negatif,2,netral
771,kenapa gue kurang suka ipb karena dia udah politik tapi condong ke satu sosok makanya saat ngebahas sosok lawan pasti agak ketus tapi beda sama jejak digital yang samasama anti rezim mereka ini tahu neng saat panutan mention akun mereka,0,0.056,0.944,-0.3182,negatif,2,netral
800,pernah kenal sama 02 voter pas tanya alas soal indonesia butuh pimpin tegas dari militer prabowo aku mantan anak paski jadi aku suka sama dia lagi gibran lulus luar negeri pasti bisa bahasa inggris ucap oleh mahasiswa btw,0,0.054,0.946,-0.2732,negatif,2,netral
802,wajar dong komplen ke ime kembang api saja tidak bisa buat lihat di asia cuma indonesia yang tidak dapat kembang api karena alas polusi udara kocak,0,0.077,0.923,-0.2732,negatif,2,netral
810,belum ada konfirmasi resmi bahwa fufufafa adalah gibran anak sulung jokowi ada spekulasi dan bukti tidak langsung seperti data bocor dan koneksi ke bisnis gibran tapi gibran dan kominfo ban hingga april 2025 kontroversi belum selesai,0,0.093,0.907,-0.5574,negatif,2,netral
811,bikin repot aja kita suruh verifikasi sim pakai data pribadi tapi malah bocor dan kena spam iklan,0,0.135,0.865,-0.3612,negatif,2,netral
862,gue dari jam 7 pagi sampai 4 sore itu kerja kantor jam 5 sampai 8 malam jadi guru les apa aja musik matematika fisika kimia inggris tenis jam 9 sampai 10 malam bikin sabun ramah lingkung untuk jual online sabtu minggu full ngajar kalau gak jadi budak gin gak bisa hidup layak,0,0.052,0.948,-0.3612,negatif,2,netral
890,jujur aja walau gak bisa dipungkiri mau kenal dunia dan punya soft power tapi tidak saat ini soft power belum pentingpenting amat selain kita fokus bangun bangsa dulu nama soft power harus ada hard powernya,0,0.04,0.96,-0.1027,negatif,2,netral
897,stop jadi demokrasi cipta barat bagai harap dan pedoman hidup negara semua kampanye demokrasi hanya tipu muslihat,0,0.121,0.879,-0.296,negatif,2,netral
901,yuk kita satu dukung pak jokowi fokus ke bangun bangsa aja jangan pancing hoax,0,0.139,0.861,-0.2732,negatif,2,netral
921,sorry mbak prabowogibran untuk dua periode kalau pdip mau calon gibran hatihati ya nanti rakyat yang pilih pdip di 2029,0,0.064,0.936,-0.0772,negatif,2,netral
924,commenting for those yang malas nonton video varrel lagi jawab tentang digitalisasi dan technological wave di indonesia dengan rujuk ke era pandemi tapi yang direfer cuma guna sosial media untuk tackle misinformation dan guna ai yang tidak jabar dampak buat rakyat,0,0.054,0.946,-0.3182,negatif,2,netral
927,sekarang tidak perlu mekar dengan alas agar bangun lancar yang ada cuma bagibagi jabat sekarang sudah serba digital dan akses di kabupaten ini juga mudah jadi tidak ada alas mekar agar layan lebih lancar toh semua bisa cepat dengan bantu teknologi,0,0.097,0.903,-0.4939,negatif,2,netral
970,beli mobil bekas masih dapat garansi telah 8 tahun jika rusak berapa uang yang harus keluar beli mobil listrik bekas tolong saya bantu drop link yang tunjuk baterai ev tidak akan rusak di tahun ke8 karena saya tidak temu artikel,0,0.052,0.948,-0.2732,negatif,2,netral
994,jangan rusak demokrasi yang juang dengan darah dan nyawa pada mei 1998 harga suara rakyat pada pilpres 2024 makzul tanpa alas yang tepat sama saja dengan kudeta struktur dan dapat jadi preseden buruk di masa depan,0,0.057,0.943,-0.2732,negatif,2,netral
996,stress banget telepon oleh orang asing seperti ini ini data dari aplikasi mana lagi ya yang bocor,0,0.149,0.851,-0.4215,negatif,2,netral
1015,di era serba digital sekarang mampu baca itu jadi tameng utama supaya gak gampang jebak info hoax jadi yuk biasain baca bukan cuma buat nilai bagus tapi juga buat jadi versi baik dari diri kita sendiri,0,0.057,0.943,-0.2732,negatif,2,netral
1022,semangat bang tidak ada hari selain capek lelah dan sakit hati lama presiden dan wapresmu masih prabowo dan gibran itu katakata semangat yang wadaw hanya saja real no fake,0,0.164,0.836,-0.6486,negatif,2,netral
1028,pak ganjar benar tak ada alas untuk makzul gibran kecuali lalu revolusi dan itu satu paket dengan prabowo sekali dpr dan mpr tidak bisa,0,0.084,0.916,-0.2732,negatif,2,netral
1032,bahasa querynya indonesia fufufafa mungkin gibran rakabuming raka karena banyak bukti digital seperti jejak media sosial data pribadi yang bocor dan link ke bisnis chilli pari tapi gibran dan kominfo ban jadi masih kontradiktif,0,0.098,0.902,-0.5574,negatif,2,netral
1037,benar apa lemah dari bentuk sertifikat tanah konvensional yang lama ini laku apakah dengan digitalisasi lemah itu bisa atas bukankah data dalam bentuk digital itu lebih mudah manipulasi daripada bentuk hard copy orang bisa tibatiba,0,0.04,0.96,-0.1027,negatif,2,netral
1050,dasar kasuskasus hingga maret 2025 khusus soal tega hukum dan ham rating untuk presiden prabowo subianto sekitar 3 dari 10 polisi masih brutal seperti pada protes maret 2025 dengan lapor keras lebih dan tanpa r,0,0.114,0.886,-0.6249,negatif,2,netral
1081,privasi dengan esim memang rawan karena beberapa alas pertama esim tidak bisa lepas sehingga perangkat selalu hubung ke jaring mungkin lacak lokasi dan aktivitas tanpa henti dua sedia layan bisa umum data guna,0,0.062,0.938,-0.2732,negatif,2,netral
1145,gak penting banget kalau mau beri lindung ganda hadap penyalahgunaan data serta jahat digital seperti spam phishing dan judi online harus hilangin akar masalah bukan ganti jenis kartu sama saja bohong kalau sudah esim tapi data masih bocor,0,0.063,0.937,-0.3612,negatif,2,netral
1179,serang para dukung koruptor makin gencar tidak hanya di lapang di medsos pun jaksa terus serang sampai nyebar hoax ja st burhanuddin ganti ngapain takut ya sama pak kumis,0,0.07,0.93,-0.2732,negatif,2,netral
1181,halo apakah aplikasi digital korlantas masih aktif jika masih aktif kenapa selalu tidak bisa verifikasi verifikasi ektp gagal dan banyak error maaf saya tanya lewat postingan karena kalau lewat dm harus langgan dulu,0,0.078,0.922,-0.4019,negatif,2,netral
1192,beberapa hari belakang ini ada dapat spam call dari nomor tidak kenal ke nomor hp yang bukan plat merah ini jadi langka telah ingat baru ada jadi data masyarakat bocor dari salah satu aplikasi yap nomor hp yang daftar di aplikasi itu yang kena spam call,0,0.102,0.898,-0.6124,negatif,2,netral
1194,politik itu sangat dinamis bisa jadi yang sekarang dukung 01 dan dukung prabowo justru bakal kubu di tahun 2029 garagara lawan gibran who knows twitter ini lamalama tidak ada ubah seperti dukung kamala harris kemarin yang hobi banget cancel orang cuma garagara beda pilih,0,0.044,0.956,-0.25,negatif,2,netral
1200,semua serba gampang sejak pakai indosat urus digital jadi cepat dan anti ribet,0,0.161,0.839,-0.3182,negatif,2,netral
1212,tidak benci prabowonya thur tapi gibrannya anti 02 bukan selalu arti anti prabowo tapi bisa jadi anti keluarga mulyono,0,0.301,0.699,-0.7096,negatif,2,netral
1224,ya nggak apaapa politik itu kan tidak ada kawan sejati yang ada penting kita doa moga penting pak ps memang untuk bangsa bukan untuk pribadi keluarga,0,0.117,0.883,-0.5106,negatif,2,netral
1232,banyak orang yang tidak tahu beda mayoritas atas efek sisa dik orba yang kalau lihat pki langsung anti daripada ajar kenapa pki itu buruk dengan benar toh identitas ideologi rakyat indonesia pun masih banyak yang belum jelas,0,0.06,0.94,-0.3182,negatif,2,netral
1258,serikat tani kelapa sawit sebut naik tarif ekspor cpo rugi tani naik pungut ekspor crude palm oil cpo dari 75 jadi 10 yang laku mulai 17 mei 2025 nilai rugi tani kelapa sawit ketua umum spks sabarudin,0,0.093,0.907,-0.5719,negatif,2,netral
1259,maaf saya tidak bisa ubah foto seperti yang minta kena isu tambang nikel di raja ampat ada pro dan kontra tambang dukung ekonomi cipta lapang kerja dan pt gag nikel klaim patuh pada regulasi lingkung dengan rehabilitasi lahan dan kendali polusi,0,0.057,0.943,-0.34,negatif,2,netral
1271,untuk atas ujar benci di x tega hukum di indonesia baik mulai dengan cegah seperti kampanye sadar dan literasi digital sesuai surat edar polri no se06x2015 jika tak efektif terap hukum tegas seperti tangkap,0,0.064,0.936,-0.296,negatif,2,netral
1276,apalagi dengan teknologi ai yang makin canggih makin sulit beda asli atau palsu kecuali langsung verifikasi lapang tetap waspada propaganda asing manfaat benci gelintir orang akibat kalah pilpres,0,0.069,0.931,-0.25,negatif,2,netral
1292,tiga alas utama yang latar tren ini adalah jenuh hadap hubung konstan lewat smartphone ingin untuk laku detoks digital dan hasrat untuk lebih fokus dalam hidup nyata generasi muda masuk gen z mulai sadar bahwa tak semua harus serba canggih,0,0.052,0.948,-0.2732,negatif,2,netral
1295,jokowi orang presiden minta kpk stop kasus ektp setya novanto aman hasto orang biasa duga minta harun mas lari diri sangka hukum asu di indonesia aman,0,0.081,0.919,-0.296,negatif,2,netral
1298,saya siap ikut latih yang beri coach ade saya akan ajar dengan sungguhsungguh sampai benarbenar kuasa latih sebut saya janji tidak akan serah apa alas saya yakin saya bisa raih prestasi,0,0.065,0.935,-0.2732,negatif,2,netral
1300,banding dua hal jelek tidak akan buat salah satu baik swasembada apa kalau cuma propaganda rakyat makan susah pns makan beras jatah yang banyak kutu nya tetanggatetangga makan gaplek tapi soksokan ekspor biar ada berita senang,0,0.054,0.946,-0.25,negatif,2,netral
1306,demi satu kata yg sakti yaitu hilir semua korban baik manusia dan alam damn,0,0.172,0.828,-0.4019,negatif,2,netral
1316,saya yang tinggal sini sedikit tidak tuju ya sini banyak lansia bro saat semua alih ke hal yang serba digital mereka akan sulit bahkan rawan kena scam,0,0.125,0.875,-0.5719,negatif,2,netral
1331,ya ampun dua hari berturutturut sinyal telkomsel no service di sbd di zaman serba digital seperti ini untung saya pakai indosat wkwkwk temanteman yang pakai operator itu semua jaring mati total,0,0.068,0.932,-0.296,negatif,2,netral
1364,untuk bangun dan kuat bahasa lokal mereka proses mulai dari desadesa sampai ke kota yang notabene baru merdeka hal ini jadi fondasi buah nkri yang belum begitu kuat baik cara makna maupun dalam praktik ini fatal karena,0,0.089,0.911,-0.5423,negatif,2,netral
1391,nah daripada buat bayar buzzer yang nggak guna mending tabung duit buat bayar utang wo prabowo yuk bisa yuk indonesia hancur 2030,0,0.062,0.938,-0.1027,negatif,2,netral
1404,kalau dari alamat dan benefitnya terlalu bagus untuk jadi nyata apalagi kamu nggak rasa lamar ini jelas scam kenapa bisa tahu karena email kamu bocor banyak kasus bocor data seperti ini makanya orangorang masalah kalau data bocor,0,0.093,0.907,-0.5719,negatif,2,netral
